1024	0.01	0.00	0.01
1024	0.01	0.00	0.00
1024	0.01	0.00	0.00
1024	0.01	0.00	0.01
1024	0.01	0.00	0.00
1024	0.01	0.00	0.01
1024	0.01	0.00	0.00
1024	0.01	0.00	0.01
1024	0.01	0.00	0.00
1024	0.01	0.00	0.01
2048	0.01	0.00	0.00
2048	0.01	0.00	0.01
2048	0.01	0.00	0.00
2048	0.01	0.00	0.01
2048	0.01	0.00	0.00
2048	0.01	0.00	0.01
2048	0.01	0.00	0.00
2048	0.01	0.00	0.01
2048	0.01	0.00	0.00
2048	0.01	0.01	0.00
4096	0.01	0.00	0.00
4096	0.01	0.00	0.01
4096	0.01	0.01	0.00
4096	0.01	0.00	0.00
4096	0.01	0.01	0.00
4096	0.01	0.01	0.00
4096	0.01	0.00	0.00
4096	0.01	0.00	0.01
4096	0.01	0.01	0.00
4096	0.01	0.00	0.01
8192	0.01	0.00	0.01
8192	0.01	0.00	0.01
8192	0.02	0.00	0.01
8192	0.01	0.00	0.01
8192	0.01	0.01	0.00
8192	0.02	0.01	0.00
8192	0.02	0.01	0.01
8192	0.01	0.00	0.00
8192	0.02	0.00	0.01
8192	0.01	0.00	0.01
16384	0.02	0.01	0.01
16384	0.02	0.01	0.00
16384	0.02	0.01	0.01
16384	0.02	0.00	0.03
16384	0.02	0.01	0.00
16384	0.03	0.01	0.01
16384	0.03	0.00	0.03
16384	0.03	0.03	0.00
16384	0.02	0.01	0.00
16384	0.02	0.00	0.01
32768	0.04	0.03	0.01
32768	0.04	0.01	0.03
32768	0.04	0.03	0.00
32768	0.05	0.01	0.03
32768	0.04	0.03	0.01
32768	0.04	0.03	0.01
32768	0.04	0.03	0.00
32768	0.04	0.01	0.01
32768	0.04	0.03	0.01
32768	0.04	0.01	0.03
65536	0.08	0.03	0.04
65536	0.07	0.04	0.03
65536	0.08	0.03	0.04
65536	0.08	0.06	0.03
65536	0.07	0.04	0.01
65536	0.07	0.03	0.04
65536	0.09	0.04	0.04
65536	0.07	0.04	0.03
65536	0.08	0.04	0.03
65536	0.07	0.04	0.01
131072	0.16	0.12	0.03
131072	0.15	0.09	0.06
131072	0.15	0.09	0.04
131072	0.14	0.12	0.03
131072	0.14	0.09	0.03
131072	0.15	0.09	0.06
131072	0.15	0.12	0.03
131072	0.14	0.09	0.04
131072	0.14	0.06	0.07
131072	0.14	0.07	0.06
262144	0.27	0.17	0.09
262144	0.29	0.23	0.06
262144	0.30	0.18	0.10
262144	0.29	0.25	0.04
262144	0.30	0.18	0.10
262144	0.30	0.21	0.07
262144	0.29	0.20	0.09
262144	0.28	0.17	0.10
262144	0.32	0.21	0.09
262144	0.30	0.18	0.12
524288	0.53	0.39	0.14
524288	0.60	0.26	0.32
524288	0.58	0.46	0.12
524288	0.56	0.37	0.18
524288	0.57	0.32	0.23
524288	0.57	0.46	0.10
524288	0.54	0.40	0.14
524288	0.57	0.37	0.18
524288	0.58	0.42	0.15
524288	0.57	0.42	0.15
1048576	1.13	0.79	0.32
1048576	1.11	0.76	0.34
1048576	1.17	0.85	0.31
1048576	1.14	0.79	0.29
1048576	1.65	1.17	0.42
1048576	2.05	1.17	0.39
1048576	1.89	1.32	0.43
1048576	1.72	1.14	0.48
1048576	1.68	1.06	0.35
1048576	1.75	1.21	0.42
2097152	3.31	2.37	0.87
2097152	2.94	2.10	0.75
2097152	2.86	2.00	0.79
2097152	2.94	2.06	0.81
2097152	2.88	1.90	0.82
2097152	3.01	2.06	0.84
2097152	2.98	2.01	0.75
2097152	3.04	2.09	0.81
2097152	3.38	2.35	0.75
2097152	3.46	2.34	0.90
4194304	6.23	4.43	1.65
4194304	6.43	4.50	1.70
4194304	5.76	4.14	1.53
4194304	5.94	4.09	1.50
4194304	5.12	3.78	1.26
4194304	5.18	3.68	1.18
4194304	5.36	3.85	1.37
4194304	5.16	3.60	1.50
4194304	5.11	3.57	1.46
4194304	5.66	4.15	1.34
8388608	10.37	7.39	2.75
8388608	12.35	8.89	3.31
8388608	12.36	8.73	3.35
8388608	10.42	7.71	2.60
8388608	9.92	7.28	2.51
8388608	10.74	7.87	2.78
8388608	10.96	7.81	2.82
8388608	12.46	9.14	3.10
8388608	11.72	8.56	2.95
8388608	10.39	7.15	3.04
